experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size,weight_decay
unified_grid,config_23,43,0.9454995836900597,0.9377551020408164,0.16629679314792156,53,29.63045072555542,0.5590651080293475,"[64, 32]",gelu,0.2,False,adamw,0.0005,100,64,0.0001
unified_grid,config_16,26,0.946209751940745,0.9377551020408164,0.1662609693594277,36,20.19193410873413,0.5608870585759481,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0005
unified_grid,config_149,40,0.9451691603647291,0.9377551020408164,0.17218701301082487,50,40.81673502922058,0.8163347005844116,[32],tanh,0.0,False,adamw,0.001,100,32,0.0
unified_grid,config_136,25,0.9458014926506717,0.9377551020408164,0.17296580038964748,35,10.794725894927979,0.3084207398550851,"[128, 64]",relu,0.2,False,adam,0.0005,100,128,0.0
unified_grid,config_155,100,0.9456774478803446,0.9377551020408164,0.16617938611776598,100,79.06724309921265,0.7906724309921265,[32],tanh,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_134,32,0.945850271035651,0.9377551020408164,0.16884692013263702,42,13.455201864242554,0.32036194914863225,"[128, 64]",relu,0.2,False,adam,0.001,100,128,0.0
unified_grid,config_107,42,0.9468929814980385,0.9377551020408164,0.1664466822459813,52,51.130746841430664,0.9832835931044358,"[64, 32]",relu,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_111,38,0.9448679594459556,0.9377551020408164,0.17237396988897555,48,50.36133670806885,1.0491945147514343,"[64, 32]",relu,0.2,False,adam,0.0005,100,32,0.0
unified_grid,config_172,37,0.9447017356829545,0.9377551020408164,0.1723618758842349,47,12.872025966644287,0.27387289290732525,"[128, 64]",tanh,0.0,False,adam,0.0005,100,128,0.0
unified_grid,config_150,85,0.9458047343134707,0.9377551020408164,0.16994936484843493,95,21.734459161758423,0.22878378065008867,[32],tanh,0.0,False,adamw,0.001,100,128,0.0
unified_grid,config_177,26,0.946623369934673,0.9377551020408164,0.16906943851180614,36,32.24758315086365,0.8957661986351013,"[128, 64]",tanh,0.0,False,rmsprop,0.001,100,32,0.0
unified_grid,config_103,38,0.9455093505118836,0.9377551020408164,0.16850319324481872,48,47.246567726135254,0.9843034942944845,"[64, 32]",relu,0.0,False,adamw,0.0005,100,32,0.0
unified_grid,config_106,36,0.9438220213506769,0.9377551020408164,0.1719277761876583,46,14.239078998565674,0.3095451956209929,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,128,0.0
unified_grid,config_165,41,0.9455658337202981,0.9377551020408164,0.16928705278663866,51,40.42723822593689,0.7926909456066057,[64],tanh,0.0,False,rmsprop,0.001,100,32,0.0
unified_grid,config_167,75,0.9456362677476285,0.9377551020408164,0.16847012119908486,85,68.36506700515747,0.8042949059430291,[64],tanh,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_74,80,0.9458941388426655,0.9377551020408164,0.17602629959583282,90,21.604023933410645,0.24004471037122938,[16],relu,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_115,40,0.9446341626515705,0.9377551020408164,0.1697807610635796,50,51.64313077926636,1.032862615585327,"[64, 32]",relu,0.2,False,adamw,0.0005,100,32,0.0
unified_grid,config_117,12,0.9439426656488684,0.9377551020408164,0.17298271374837046,22,23.306518077850342,1.0593871853568337,"[64, 32]",relu,0.2,False,rmsprop,0.001,100,32,0.0
unified_grid,config_159,62,0.9444322540264413,0.9377551020408164,0.17069037198539702,72,59.54054927825928,0.8269520733091567,[64],tanh,0.0,False,adam,0.0005,100,32,0.0
unified_grid,config_122,23,0.9453350389779602,0.9377551020408164,0.1679894281551242,33,9.918538093566895,0.30056176041111804,"[128, 64]",relu,0.0,False,adam,0.001,100,128,0.0
unified_grid,config_168,74,0.9451937551772929,0.936734693877551,0.17470472119748592,84,19.35068702697754,0.23036532174973262,[64],tanh,0.0,False,rmsprop,0.0005,100,128,0.0
unified_grid,config_179,39,0.944951492590634,0.936734693877551,0.16803338324591036,49,44.00721096992493,0.8981063463249985,"[128, 64]",tanh,0.0,False,rmsprop,0.0005,100,32,0.0
unified_grid,config_176,43,0.9434391226998021,0.936734693877551,0.17138259205967188,53,14.334153890609741,0.27045573378508947,"[128, 64]",tanh,0.0,False,adamw,0.0005,100,128,0.0
unified_grid,config_164,91,0.9434829436537537,0.936734693877551,0.17452735546976328,100,22.99834704399109,0.22998347043991088,[64],tanh,0.0,False,adamw,0.0005,100,128,0.0
unified_grid,config_93,43,0.9420844822006554,0.936734693877551,0.17940495740021428,53,46.5792031288147,0.8788528892229188,[16],relu,0.2,False,rmsprop,0.001,100,32,0.0
unified_grid,config_13,65,0.9454738128470489,0.936734693877551,0.1624428452923894,75,39.292316913604736,0.5238975588480631,"[64, 32]",gelu,0.1,False,adamw,0.0005,100,64,0.0
