experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,validation_loss,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_155,15,0.9444684337986479,0.9357142857142857,0.17060669751897936,25,23.796549081802368,0.9518619632720947,"[128, 64]",relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_90,24,0.941780827015923,0.9357142857142857,0.18347548320889473,34,9.56856107711792,0.2814282669740565,[64],tanh,0.2,False,adamw,0.001,100,128
full_grid,config_91,60,0.9432304270721842,0.9357142857142857,0.1746717617516556,70,59.74944806098938,0.8535635437284197,[64],tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_93,36,0.9434711704255532,0.9357142857142857,0.17172487512711557,46,39.4058940410614,0.8566498704578566,[64],tanh,0.2,False,rmsprop,0.001,100,32
full_grid,config_134,28,0.9417855134476457,0.9357142857142857,0.1771862367168069,38,11.361014127731323,0.29897405599292953,"[64, 32]",tanh,0.2,False,adam,0.001,100,128
full_grid,config_63,51,0.9442425389049163,0.9357142857142857,0.16857614284080844,61,51.71726393699646,0.8478239989671551,[64],relu,0.2,False,adam,0.0005,100,32
full_grid,config_55,43,0.9442673455800169,0.9357142857142857,0.16858838642797164,53,46.1822350025177,0.8713629245758057,[64],relu,0.0,False,adamw,0.0005,100,32
full_grid,config_168,26,0.9433606047306539,0.9357142857142857,0.17235992569476366,36,10.880399942398071,0.30223333173327976,"[128, 64]",relu,0.2,False,rmsprop,0.0005,100,128
full_grid,config_49,36,0.9439619633344986,0.9357142857142857,0.16663209054498904,46,37.600372076034546,0.8173993929572727,[64],relu,0.0,False,adam,0.001,100,32
full_grid,config_172,64,0.943500022239777,0.9357142857142857,0.16999883111566305,74,19.921471118927002,0.26920906917468923,"[128, 64]",tanh,0.0,False,adam,0.0005,100,128
full_grid,config_103,14,0.9441519553007327,0.9357142857142857,0.17227522476065543,24,23.590413808822632,0.982933908700943,"[64, 32]",relu,0.0,False,adamw,0.0005,100,32
full_grid,config_76,89,0.9427056518417702,0.9357142857142857,0.17798664141446352,99,22.07676911354065,0.2229976678135419,[64],tanh,0.0,False,adam,0.0005,100,128
full_grid,config_106,20,0.9426220972704898,0.9357142857142857,0.17116152867674828,30,9.275174140930176,0.3091724713643392,"[64, 32]",relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_182,22,0.9409951853583126,0.9346938775510204,0.17287879064679146,32,9.957130908966064,0.3111603409051895,"[128, 64]",tanh,0.2,False,adam,0.001,100,128
full_grid,config_144,44,0.9412076309990371,0.9346938775510204,0.17708992678672075,54,14.984283924102783,0.2774867393352367,"[64, 32]",tanh,0.2,False,rmsprop,0.0005,100,128
full_grid,config_152,22,0.9427193946800612,0.9346938775510204,0.16957385279238224,32,9.628270149230957,0.3008834421634674,"[128, 64]",relu,0.0,False,adamw,0.0005,100,128
full_grid,config_147,22,0.9429000076910795,0.9346938775510204,0.17019777871187655,32,31.39011311531067,0.9809410348534584,"[128, 64]",relu,0.0,False,adam,0.0005,100,32
full_grid,config_137,30,0.9418712578009981,0.9346938775510204,0.1742298286408186,40,40.11586785316467,1.0028966963291168,"[64, 32]",tanh,0.2,False,adamw,0.001,100,32
full_grid,config_192,24,0.9406964353001247,0.9346938775510204,0.17403518315404654,34,10.272137880325317,0.30212170236250935,"[128, 64]",tanh,0.2,False,rmsprop,0.0005,100,128
full_grid,config_60,76,0.9434339732137577,0.9346938775510204,0.17262608464807272,86,19.35182523727417,0.22502122368923452,[64],relu,0.0,False,rmsprop,0.0005,100,128
full_grid,config_132,32,0.9402931950659764,0.9346938775510204,0.17603519465774298,42,11.405472040176392,0.2715588580994379,"[64, 32]",tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_27,49,0.9423527558168822,0.9346938775510204,0.17640242905866715,59,48.738014221191406,0.826068037647312,[32],tanh,0.0,False,adam,0.0005,100,32
full_grid,config_79,40,0.9419967521689028,0.9346938775510204,0.17453586886967382,50,41.41744303703308,0.8283488607406616,[64],tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_69,24,0.9424575283577383,0.9346938775510204,0.1668610832984409,34,28.934300899505615,0.8510088499854592,[64],relu,0.2,False,rmsprop,0.001,100,32
full_grid,config_68,97,0.9411688273510526,0.9346938775510204,0.1769610708579421,100,24.592278003692627,0.24592278003692628,[64],relu,0.2,False,adamw,0.0005,100,128
full_grid,config_28,99,0.9409934913008566,0.9346938775510204,0.17821260076016188,100,23.238192081451416,0.23238192081451417,[32],tanh,0.0,False,adam,0.0005,100,128
