experiment,config_name,best_epoch,validation_f1_macro,validation_accuracy,epochs_trained,training_time_sec,time_per_epoch_sec,hidden_layers,activation,dropout,use_batch_norm,optimizer,lr,epochs,batch_size
full_grid,config_170,9,0.9432460564921769,0.936734693877551,19,6.186032295227051,0.3255806471172132,"[128, 64]",tanh,0.0,False,adam,0.001,100,128
full_grid,config_10,26,0.9432329240984857,0.9357142857142857,36,8.55987286567688,0.23777424626880223,[32],relu,0.0,False,rmsprop,0.001,100,128
full_grid,config_95,11,0.9432293825532679,0.936734693877551,21,16.673768281936646,0.7939889658065069,[64],tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_127,8,0.9431621898548366,0.936734693877551,18,17.58895182609558,0.9771639903386434,"[64, 32]",tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_14,25,0.9430841580250963,0.936734693877551,35,9.20684814453125,0.2630528041294643,[32],relu,0.2,False,adam,0.001,100,128
full_grid,config_152,10,0.9430752419683446,0.936734693877551,20,6.282878160476685,0.31414390802383424,"[128, 64]",relu,0.0,False,adamw,0.0005,100,128
full_grid,config_74,27,0.9430305025604547,0.936734693877551,37,8.238851070404053,0.22267165055146088,[64],tanh,0.0,False,adam,0.001,100,128
full_grid,config_188,5,0.9430212574391778,0.9377551020408164,15,5.583321809768677,0.37222145398457845,"[128, 64]",tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_38,8,0.9429844111685652,0.9377551020408164,18,5.722646951675415,0.3179248306486342,[32],tanh,0.2,False,adam,0.001,100,128
full_grid,config_100,14,0.9428774045686795,0.936734693877551,24,7.381357192993164,0.3075565497080485,"[64, 32]",relu,0.0,False,adam,0.0005,100,128
full_grid,config_91,21,0.9428585994269228,0.936734693877551,31,24.96877098083496,0.8054442251882246,[64],tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_62,29,0.942848011398306,0.936734693877551,39,9.075804233551025,0.2327129290654109,[64],relu,0.2,False,adam,0.001,100,128
full_grid,config_134,5,0.9428417550665834,0.9377551020408164,15,5.440838098526001,0.3627225399017334,"[64, 32]",tanh,0.2,False,adam,0.001,100,128
full_grid,config_13,14,0.9427724467601014,0.936734693877551,24,20.465480089187622,0.8527283370494843,[32],relu,0.2,False,adam,0.001,100,32
full_grid,config_88,14,0.9427303813209603,0.936734693877551,24,6.622988700866699,0.2759578625361125,[64],tanh,0.2,False,adam,0.0005,100,128
full_grid,config_11,17,0.9427245573656238,0.9357142857142857,27,21.00732111930847,0.7780489303447582,[32],relu,0.0,False,rmsprop,0.0005,100,32
full_grid,config_172,23,0.9427175213129716,0.9357142857142857,33,9.554389953613281,0.2895269682913115,"[128, 64]",tanh,0.0,False,adam,0.0005,100,128
full_grid,config_60,19,0.9426936390564725,0.936734693877551,29,8.287463903427124,0.285774617359556,[64],relu,0.0,False,rmsprop,0.0005,100,128
full_grid,config_90,21,0.9426840404357163,0.936734693877551,31,8.134588241577148,0.26240607230894025,[64],tanh,0.2,False,adamw,0.001,100,128
full_grid,config_130,7,0.9426534025924527,0.9357142857142857,17,5.784801006317139,0.3402824121363023,"[64, 32]",tanh,0.0,False,rmsprop,0.001,100,128
full_grid,config_29,13,0.9426493246486434,0.9377551020408164,23,18.199681997299194,0.7912905216217041,[32],tanh,0.0,False,adamw,0.001,100,32
full_grid,config_22,26,0.9426023246638543,0.9357142857142857,36,8.794358015060425,0.24428772264056736,[32],relu,0.2,False,rmsprop,0.001,100,128
full_grid,config_46,9,0.9425832133995902,0.936734693877551,19,6.051033973693848,0.3184754722996762,[32],tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_77,8,0.9425281814024425,0.9357142857142857,18,15.69911003112793,0.8721727795071073,[64],tanh,0.0,False,adamw,0.001,100,32
full_grid,config_23,31,0.9424542312319414,0.936734693877551,41,31.381053924560547,0.7653915591356231,[32],relu,0.2,False,rmsprop,0.0005,100,32
full_grid,config_175,17,0.9424273645915265,0.9346938775510204,27,26.25375986099243,0.972361476333053,"[128, 64]",tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_190,1,0.942423070527571,0.936734693877551,11,4.350214004516602,0.39547400041060016,"[128, 64]",tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_41,3,0.9422727735258395,0.936734693877551,13,11.804561853408813,0.9080432194929856,[32],tanh,0.2,False,adamw,0.001,100,32
full_grid,config_39,6,0.9422660744564755,0.936734693877551,16,14.385359764099121,0.8990849852561951,[32],tanh,0.2,False,adam,0.0005,100,32
full_grid,config_31,17,0.9422491525967148,0.9357142857142857,27,22.980302095413208,0.8511222998301188,[32],tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_84,15,0.9421960979858053,0.9357142857142857,25,6.575067043304443,0.2630026817321777,[64],tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_26,16,0.9421867895803303,0.9357142857142857,26,6.660210132598877,0.2561619281768799,[32],tanh,0.0,False,adam,0.001,100,128
full_grid,config_132,9,0.9421415849143749,0.936734693877551,19,6.035508155822754,0.31765832399067123,"[64, 32]",tanh,0.0,False,rmsprop,0.0005,100,128
full_grid,config_76,20,0.9421226360430123,0.9346938775510204,30,7.780745983123779,0.2593581994374593,[64],tanh,0.0,False,adam,0.0005,100,128
full_grid,config_47,8,0.9421107807304957,0.936734693877551,18,15.707030057907104,0.8726127809948392,[32],tanh,0.2,False,rmsprop,0.0005,100,32
full_grid,config_79,7,0.942065117025739,0.9357142857142857,17,14.382318258285522,0.8460187210756189,[64],tanh,0.0,False,adamw,0.0005,100,32
full_grid,config_93,14,0.9420636177833936,0.9346938775510204,24,19.118382692337036,0.7965992788473765,[64],tanh,0.2,False,rmsprop,0.001,100,32
full_grid,config_142,4,0.9420263289539127,0.936734693877551,14,5.0420379638671875,0.36014556884765625,"[64, 32]",tanh,0.2,False,rmsprop,0.001,100,128
full_grid,config_147,4,0.9419578262018042,0.9357142857142857,14,13.376110076904297,0.9554364340645927,"[128, 64]",relu,0.0,False,adam,0.0005,100,32
full_grid,config_92,17,0.9419018697171646,0.9357142857142857,27,7.145820140838623,0.2646600052162453,[64],tanh,0.2,False,adamw,0.0005,100,128
full_grid,config_32,10,0.9418109993973928,0.9346938775510204,20,6.241745233535767,0.31208726167678835,[32],tanh,0.0,False,adamw,0.0005,100,128
full_grid,config_15,15,0.9416873780613005,0.9357142857142857,25,20.74885606765747,0.8299542427062988,[32],relu,0.2,False,adam,0.0005,100,32
full_grid,config_43,9,0.9416480885843158,0.936734693877551,19,17.294668912887573,0.9102457322572407,[32],tanh,0.2,False,adamw,0.0005,100,32
full_grid,config_144,11,0.9415801042180448,0.9346938775510204,21,7.022967100143433,0.3344270047687349,"[64, 32]",tanh,0.2,False,rmsprop,0.0005,100,128
full_grid,config_4,36,0.9415515951833543,0.9357142857142857,46,10.925036191940308,0.23750078678131104,[32],relu,0.0,False,adam,0.0005,100,128
full_grid,config_18,14,0.9414956012254586,0.9357142857142857,24,6.7209389209747314,0.28003912170728046,[32],relu,0.2,False,adamw,0.001,100,128
full_grid,config_136,17,0.9414722547146417,0.9357142857142857,27,8.692936897277832,0.3219606258251049,"[64, 32]",tanh,0.2,False,adam,0.0005,100,128
full_grid,config_131,13,0.9414677290745448,0.9377551020408164,23,21.42692804336548,0.9316055671028469,"[64, 32]",tanh,0.0,False,rmsprop,0.0005,100,32
full_grid,config_64,29,0.9414569539059748,0.9357142857142857,39,9.301911115646362,0.23851054142682981,[64],relu,0.2,False,adam,0.0005,100,128
full_grid,config_28,18,0.9414172123766814,0.9346938775510204,28,7.338326930999756,0.2620831046785627,[32],tanh,0.0,False,adam,0.0005,100,128
full_grid,config_63,12,0.9413321583459753,0.9357142857142857,22,17.091392993927002,0.7768814997239546,[64],relu,0.2,False,adam,0.0005,100,32
full_grid,config_156,3,0.9413017714141932,0.9346938775510204,13,4.540843963623047,0.34929568950946516,"[128, 64]",relu,0.0,False,rmsprop,0.0005,100,128
